,tconst,primaryTitle,startYear,genres,directors,cast,averageRating,numVotes,main_dir,dirname
218168,tt1820450,Godless,2010,"Documentary,Drama",nm1981894,['nm0003784'],7.6,19,nm1981894,Kelli Cooke
259659,tt3166542,W,2014,"Crime,Musical,Thriller",nm5926064,"['nm5540890', 'nm3532001', 'nm5926066', 'nm6297982', 'nm5926067']",7.1,57,nm5926064,Tarun Madan Chopra
126243,tt0322479,Hafar al bahr,2001,\N,nm0252576,"['nm1158284', 'nm1001360', 'nm0711633', 'nm2021674']",1.6,13,nm0252576,Adel El Aassar
239801,tt2380005,Im weissen Rössl,2008,Musical,nm1119351,"['nm0271757', 'nm0438140', 'nm4573760', 'nm0784788', 'nm5429130']",5.6,10,nm1119351,Kurt Pongratz
113981,tt0271624,Making the Mob,2000,"Comedy,Drama","nm0301166,nm0891802","['nm0449720', 'nm0190141', 'nm0041072', 'nm0301166', 'nm0492911']",4.2,11,nm0301166,Clint Gaige
164265,tt10171848,Pigeon's Milk,2021,Drama,nm10615418,"['nm10615417', 'nm1956600', 'nm3594524', 'nm9879883', 'nm9618033']",5.2,72,nm10615418,Eugen Marian
116501,tt0280460,The Banger Sisters,2002,"Comedy,Drama",nm0231190,"['nm0000215', 'nm0000443', 'nm0001691', 'nm0159776', 'nm0859450']",5.7,17515,nm0231190,Bob Dolman
169795,tt10844140,Fédro,2021,Documentary,nm2472540,"['nm0316162', 'nm0553417']",7.3,20,nm2472540,Marcelo Sebá
76662,tt0134328,Una bruna indiavolata!,1951,Comedy,nm0103855,"['nm0658947', 'nm0865575', 'nm0116515', 'nm0819477', 'nm0195525']",6.4,20,nm0103855,Carlo Ludovico Bragaglia
308022,tt8093700,The Woman King,2022,"Action,Drama,History",nm0697656,"['nm0205626', 'nm9096847', 'nm2736476', 'nm5956547', 'nm3915784']",6.9,76482,nm0697656,Gina Prince-Bythewood
94594,tt0196173,Trouble Down Below,1981,Adult,nm3671448,"['nm0676373', 'nm1179762', 'nm1521075', 'nm0669094', 'nm0354864']",4.5,16,nm3671448,Mansfield Warwick
106858,tt0245994,Keemat,1973,Action,nm0619102,"['nm0004429', 'nm0004334', 'nm0159159', 'nm0707398', 'nm0013023']",7.0,64,nm0619102,Ravikant Nagaich
33885,tt0063501,The Big Gundown,1967,"Drama,Western",nm0813177,"['nm0001812', 'nm0587401', 'nm0055812', 'nm0622980', 'nm0381028']",7.4,7271,nm0813177,Sergio Sollima
111585,tt0262539,Katakatala Rudraiah,1978,"Action,Drama",nm0201927,"['nm0471464', 'nm0419707', 'nm0004467', 'nm0710623', 'nm0419655']",7.8,16,nm0201927,Dasari Narayana Rao
114333,tt0272901,Trauma,1991,\N,nm0262561,"['nm0011896', 'nm0056271', 'nm0159207', 'nm1121232', 'nm0362332']",5.7,11,nm0262561,Betsan Morris Evans
125554,tt0319255,Dark Echoes,1977,Horror,nm0733420,"['nm0233312', 'nm0264603', 'nm1214414', 'nm0381000', 'nm0733421']",4.6,127,nm0733420,George Robotham
232421,tt2190237,Dance Dance Dragon,2012,Comedy,nm2007937,"['nm2208322', 'nm3003760', 'nm2704370', 'nm0659373']",5.5,36,nm2007937,Kat Goh
48164,tt0083317,We're Fighting Back,1981,"Action,Drama",nm0031398,"['nm0537094', 'nm0005204', 'nm0608012', 'nm0000289', 'nm0002332']",6.6,88,nm0031398,Lou Antonio
285579,tt5374716,Chamisso's Shadow,2016,Documentary,nm0653200,"['nm0957193', 'nm0458460', 'nm0857998']",7.7,53,nm0653200,Ulrike Ottinger
20745,tt0045311,Wanda the Sinner,1952,Drama,nm0171385,"['nm0763072', 'nm0898004', 'nm0741147', 'nm0556399', 'nm0832375']",5.8,38,nm0171385,Duilio Coletti
202343,tt15098740,The Land of Blue Lakes,2021,Horror,nm12782686,"['nm12782686', 'nm12782687', 'nm12782688', 'nm12782689', 'nm12782690']",4.0,116,nm12782686,Arturs Latkovskis
228869,tt21116930,Zehsin Cin-i Musallat,2022,Horror,nm10832470,"['nm11956493', 'nm13552754', 'nm8313389']",2.6,11,nm10832470,Ilker Tuncay
311289,tt8622462,Uczennica,1982,"Drama,War",nm0630608,"['nm1437481', 'nm0705151', 'nm0513557', 'nm0952442', 'nm0473035']",5.8,6,nm0630608,Ludmila Niedbalska
182572,tt12561412,Reverse,2021,"Crime,Thriller",nm2075583,"['nm4174266', 'nm5903369', 'nm8881872', 'nm9263893', 'nm9621811']",7.0,48,nm2075583,Mauro John Capece
259904,tt31777553,Killer Body Count,2024,"Horror,Mystery",nm0261629,"['nm3830648', 'nm2656882', 'nm2661400', 'nm7832175', 'nm11507831']",4.8,470,nm0261629,Danishka Esterhazy
